nombre,estilo,alcohol_%,min_IBU,max_IBU,astringencia,cuerpo,alcohol_gr/lt,amargor,dulzor,acidez,salado,frutado,lupulo,especias,malteado,opinion_aroma,opinion_apariencia,opinion_paladar,opinion_sabor,opinion_general
Amber,Altbier,1.8493412336210302,18.61045984971491,35.06315152718004,5.6242644489111004,11.612165120878489,2.817175228828637,10.50673893756606,21.235048909391033,5.5644935347386975,0.0,6.230442241878098,9.506163749213336,2.571457470166379,36.47331179101558,16.34,188.69,63.38,43.44,105.81
Double Bag,Altbier,2.1156293793471823,18.61045984971491,35.06315152718004,5.340623143947559,16.854728428725466,3.8194319609535374,8.672132239473815,17.497531196584656,4.068129216545037,0.0,5.392620986723811,7.520695889249397,3.084230250631173,29.878954789322016,19.23,229.0,82.57,56.1,122.24
Long Trail Ale,Altbier,1.8000904413235699,18.61045984971491,35.06315152718004,5.8982535853618145,12.76518049391889,2.305639498985672,9.890203958886604,14.876951019452788,3.4056894659062626,0.0,3.496868842823803,9.267198432920189,1.80456972454301,24.010726239118913,15.53,194.16,65.63,43.06,104.41
Doppelsticke,Altbier,2.2644544880628175,18.61045984971491,35.06315152718004,5.6242644489111004,16.475280505849014,4.717711627543931,10.50673893756606,25.96007799410199,4.2916857012120655,0.24212269859539373,7.3954826863138985,8.027596644031378,3.4752697940882658,38.32920357940198,22.97,270.53,98.47,62.88,119.59
Sleigh'r Dark Doüble Alt Ale,Altbier,2.1156293793471823,18.61045984971491,35.06315152718004,8.469223526266177,15.699246707255375,4.416176332343763,10.141304255686103,15.331426786726302,3.080537786550051,0.24212269859539373,3.6765935723536494,9.019911285031652,3.7937658196437387,32.633606617109265,17.52,256.68,72.74,47.24,103.38
Sticke,Altbier,1.9557388806563842,18.61045984971491,35.06315152718004,7.831416511844186,14.487475670091623,3.3289566665473465,10.386356239521698,18.924700246349705,4.955465151287332,0.24212269859539373,6.313445933302628,9.737497015911282,1.80456972454301,34.57618108198322,21.43,264.45,94.18,62.37,141.36
Okto Festival Ale,Altbier,1.8493412336210302,18.61045984971491,35.06315152718004,9.072280785264102,13.427053665314096,1.562912536794782,9.632613849028955,18.11721467032946,5.27542486284249,0.0,6.474578838081377,9.267198432920189,2.571457470166379,33.12376937008427,14.76,188.74,54.4,35.25,78.09
Southampton Altbier,Altbier,1.8000904413235699,18.61045984971491,35.06315152718004,6.9145175456222185,15.302041579736594,2.0939626340451305,9.232954989802424,21.048309529118807,4.690002231066151,0.0,5.066211976761195,7.7284498493336695,1.80456972454301,33.36769612584003,16.31,207.03,65.02,41.52,97.03
Copper,Altbier,1.7658761449840141,18.61045984971491,35.06315152718004,8.469223526266177,12.311940977656077,1.8506450545249378,9.36803674379683,13.943107999877705,3.692001124863519,0.24212269859539373,3.0996701285044392,9.737497015911282,3.4752697940882658,33.12376937008427,19.74,272.78,96.34,54.81,136.75
Organic Münster Alt,Altbier,1.816774403966961,18.61045984971491,35.06315152718004,10.371425804839395,11.373146833084826,2.0939626340451305,8.95681742704981,16.435182609223926,6.8079054657218885,0.0,7.583405329701548,10.179601961628789,2.571457470166379,28.068860632764583,16.67,170.13,66.01,41.75,99.32
